Team,Active Players,Age,Pos.,Status,Base Salary,Payroll %,Country
Atlanta Braves,Kenley Jansen,34,RP/CL,Vet,"$16,000,000",8.89,Curacao
Atlanta Braves,Marcell Ozuna,31,DH,Vet,"$16,000,000",8.89,Dominican Republic
Atlanta Braves,Ronald Acuna Jr.,24,OF,Arb 2,"$15,000,000",8.34,Venezuela
Atlanta Braves,Matt Olson,28,1B,Arb 2,"$15,000,000",8.34,
Atlanta Braves,Will Smith,32,RP,Vet,"$13,000,000",7.23,
Atlanta Braves,Dansby Swanson,28,SS,Arb 3,"$10,100,000",5.61,
Atlanta Braves,Adam Duvall,33,CF,Arb 4,"$9,500,000",5.28,
Atlanta Braves,Travis d'Arnaud,33,C,Vet,"$8,000,000",4.45,
Atlanta Braves,Max Fried,28,SP,Arb 2,"$6,500,000",3.61,
Atlanta Braves,Ozzie Albies,25,2B,Arb 2,"$5,000,000",2.78,Curacao
Atlanta Braves,Collin McHugh,35,RP,Vet,"$4,000,000",2.22,
Atlanta Braves,Austin Riley,25,3B,Arb 1,"$4,000,000",2.22,
Atlanta Braves,Manuel Pina,35,C,Vet,"$3,500,000",1.95,Venezuela
Atlanta Braves,A.J. Minter,28,RP,Arb 2,"$2,200,000",1.22,
Atlanta Braves,Orlando Arcia,27,1B,Arb 3,"$1,600,000",0.89,Venezuela
Atlanta Braves,Tyler Matzek,31,RP,Arb 1,"$1,400,000",0.78,
Atlanta Braves,Jesse Chavez,38,RP,Vet,"$1,250,000",0.63,
Atlanta Braves,Guillermo Heredia,31,CF,Arb 3,"$1,000,000",0.56,Cuba
Atlanta Braves,Darren O'Day,39,RP,Vet,"$1,000,000",0.56,
Atlanta Braves,Tyler Thornburg,33,RP,Vet,"$900,000",0.50,
Atlanta Braves,Kyle Wright,26,SP,Pre-Arb,"$720,000",0.40,
Atlanta Braves,Ian Anderson,24,SP,Pre-Arb,"$710,000",0.39,
Atlanta Braves,Spencer Strider,23,RP,Pre-Arb,"$710,000",0.39,
Atlanta Braves,Bryce Elder,23,SP,Pre-Arb,"$700,000",0.37,
Atlanta Braves,Jackson Stephens,28,RP,Arb 2,"$700,000",0.37,United States
Atlanta Braves,Travis Demeritte,27,RF,Pre-Arb,"$700,000",0.35,
Atlanta Braves,William Woods,23,RP,Pre-Arb,"$700,000",0.34,
Baltimore Orioles,Trey Mancini,30,DH,Arb 3,"$7,500,000",16.33,
Baltimore Orioles,Jordan Lyles,31,SP,Vet,"$5,500,000",13.07,
Baltimore Orioles,Anthony Santander,27,LF,Arb 2,"$3,150,000",6.86,Venezuela
Baltimore Orioles,Jorge Lopez,29,RP/CL,Arb 1,"$1,500,000",3.27,
Baltimore Orioles,Chris Owings,30,SS,Vet,"$1,000,000",2.18,
Baltimore Orioles,Robinson Chirinos,38,C,Vet,"$900,000",1.96,Venezuela
Baltimore Orioles,Paul Fry,29,RP,Arb 1,"$850,000",1.85,
Baltimore Orioles,Anthony Bemboom,32,C,Pre-Arb,"$780,000",1.70,
Baltimore Orioles,Cedric Mullins,27,CF,Pre-Arb,"$716,500",1.56,
Baltimore Orioles,Austin Hays,26,RF,Pre-Arb,"$713,000",1.55,
Baltimore Orioles,Dillon Tate,28,RP,Pre-Arb,"$711,500",1.55,
Baltimore Orioles,Ryan Mountcastle,25,1B,Pre-Arb,"$711,000",1.55,
Baltimore Orioles,Keegan Akin,27,RP,Pre-Arb,"$709,500",1.54,
Baltimore Orioles,Jorge Mateo,27,SS,Pre-Arb,"$709,500",1.54,Dominican Republic
Baltimore Orioles,Kelvin Gutierrez,27,3B,Pre-Arb,"$706,500",1.54,Dominican Republic
Baltimore Orioles,Ramon Urias,28,3B,Pre-Arb,"$705,500",1.54,Mexico
Baltimore Orioles,Bruce Zimmermann,27,SP,Pre-Arb,"$705,500",1.54,
Baltimore Orioles,Cionel Perez,26,RP,Pre-Arb,"$705,000",1.54,Cuba
Baltimore Orioles,Tyler Wells,27,SP,Pre-Arb,"$704,500",1.53,
Baltimore Orioles,Ryan McKenna,25,CF,Pre-Arb,"$704,000",1.53,
Baltimore Orioles,Mike Baumann,26,RP,Pre-Arb,"$701,000",1.53,
Baltimore Orioles,Joey Krehbiel,29,RP,Pre-Arb,"$701,000",1.53,
Baltimore Orioles,Bryan Baker,27,RP,Pre-Arb,"$700,500",1.53,
Baltimore Orioles,Felix Bautista,27,RP,Pre-Arb,"$700,000",1.52,Dominican Republic
Baltimore Orioles,Rougned Odor,28,2B,Vet,"$700,000",1.52,Venezuela
Baltimore Orioles,Spenser Watkins,29,SP,Pre-Arb,"$700,000",1.45,
Baltimore Orioles,Travis Lakins,28,RP,Pre-Arb,"$700,000",1.41,
Baltimore Orioles,Alexander Wells,25,RP,Pre-Arb,"$700,000",1.38,Australia
Boston Red Sox,Xander Bogaerts,29,SS,Vet,"$20,000,000",9.81,Aruba
Boston Red Sox,Trevor Story,29,2B,Vet,"$20,000,000",9.81,
Boston Red Sox,J.D. Martinez,34,DH,Vet,"$19,350,000",9.49,
Boston Red Sox,Nathan Eovaldi,32,SP,Vet,"$17,000,000",8.34,
Boston Red Sox,Rafael Devers,25,3B,Arb 2,"$11,200,000",5.49,Dominican Republic
Boston Red Sox,Jackie Bradley Jr.,32,RF,Vet,"$9,500,000",4.66,
Boston Red Sox,Matt Barnes,32,RP,Vet,"$7,250,000",3.98,
Boston Red Sox,Enrique Hernandez,30,CF,Vet,"$8,000,000",3.43,
Boston Red Sox,Christian Vazquez,31,C,Vet,"$7,000,000",3.43,
Boston Red Sox,Michael Wacha,31,SP,Vet,"$7,000,000",3.43,
Boston Red Sox,Rich Hill,42,SP,Vet,"$5,000,000",2.45,
Boston Red Sox,Alex Verdugo,26,LF,Arb 1,"$3,550,000",1.74,
Boston Red Sox,Jake Diekman,35,RP/CL,Vet,"$3,500,000",1.72,
Boston Red Sox,Matthew Strahm,30,RP,Arb 3,"$3,000,000",1.47,
Boston Red Sox,Nick Pivetta,29,SP,Arb 1,"$2,650,000",1.30,
Boston Red Sox,Kevin Plawecki,31,C,Arb 4,"$2,250,000",1.10,
Boston Red Sox,Hansel Robles,31,RP/CL,Vet,"$2,250,000",1.10,Dominican Republic
Boston Red Sox,Travis Shaw,32,1B,Vet,"$1,500,000",0.74,
Boston Red Sox,Ryan Brasier,34,RP,Arb 2,"$1,400,000",0.69,
Boston Red Sox,Christian Arroyo,27,2B,Arb 1,"$1,200,000",0.59,
Boston Red Sox,Hirokazu Sawamura,34,RP,Pre-Arb,"$1,200,000",0.59,Japan
Boston Red Sox,Garrett Whitlock,26,SP,Pre-Arb,"$720,000",0.45,
Boston Red Sox,Rob Refsnyder,31,RF,Arb 3,"$800,000",0.36,
Boston Red Sox,Austin Davis,29,RP,Pre-Arb,"$720,000",0.35,
Boston Red Sox,Bobby Dalbec,27,1B,Pre-Arb,"$714,000",0.35,
Boston Red Sox,Phillips Valdez,30,RP,Pre-Arb,"$710,000",0.35,Mexico
Boston Red Sox,Tyler Danish,27,RP,Pre-Arb,"$700,000",0.31,United States
Boston Red Sox,John Schreiber,28,RP,Pre-Arb,"$700,000",0.30,
Chicago Cubs,Marcus Stroman,31,SP,Vet,"$25,000,000",17.16,
Chicago Cubs,Jason Heyward,32,CF,Vet,"$22,000,000",16.82,
Chicago Cubs,Kyle Hendricks,32,SP,Vet,"$14,000,000",9.61,
Chicago Cubs,Willson Contreras,30,C,Arb 3,"$9,600,000",6.59,Venezuela
Chicago Cubs,Seiya Suzuki,27,RF,Pre-Arb,"$7,000,000",5.49,Japan
Chicago Cubs,Ian Happ,27,LF,Arb 2,"$6,850,000",4.70,
Chicago Cubs,Yan Gomes,34,C,Vet,"$6,000,000",4.12,
Chicago Cubs,Jonathan Villar,31,3B,Vet,"$4,500,000",3.09,Dominican Republic
Chicago Cubs,Drew Smyly,33,SP,Vet,"$4,250,000",2.92,
Chicago Cubs,Mychal Givens,32,RP,Vet,"$3,500,000",2.40,
Chicago Cubs,David Robertson,37,RP/CL,Vet,"$3,500,000",2.40,
Chicago Cubs,Chris Martin,36,RP,Arb 2,"$2,500,000",1.72,
Chicago Cubs,Daniel Norris,29,RP,Vet,"$1,750,000",1.20,
Chicago Cubs,Sean Newcomb,29,RP,Arb 1,"$900,000",0.56,
Chicago Cubs,Rafael Ortega,31,DH,Pre-Arb,"$738,500",0.51,Venezuela
Chicago Cubs,Patrick Wisdom,30,3B,Pre-Arb,"$730,000",0.50,
Chicago Cubs,Rowan Wick,29,RP,Pre-Arb,"$724,000",0.50,
Chicago Cubs,Nico Hoerner,25,SS,Pre-Arb,"$720,000",0.49,
Chicago Cubs,Nick Madrigal,25,2B,Pre-Arb,"$716,500",0.49,
Chicago Cubs,Michael Hermosillo,27,CF,Pre-Arb,"$707,000",0.49,
Chicago Cubs,Keegan Thompson,27,RP,Pre-Arb,"$706,000",0.48,
Chicago Cubs,Frank Schwindel,30,1B,Pre-Arb,"$705,500",0.48,
Chicago Cubs,Justin Steele,26,SP,Pre-Arb,"$705,000",0.48,
Chicago Cubs,Michael Rucker,28,RP,Pre-Arb,"$702,500",0.48,
Chicago Cubs,Scott Effross,28,RP,Pre-Arb,"$701,500",0.48,
Chicago Cubs,Ethan Roberts,24,RP,Pre-Arb,"$700,000",0.48,
Chicago Cubs,Alfonso Rivas,25,1B,Pre-Arb,"$701,500",0.47,
Chicago Cubs,Mark Leiter Jr.,31,SP,Pre-Arb,"$700,000",0.44,
Chicago White Sox,Jose Abreu,35,1B,Vet,"$18,000,000",10.16,Cuba
Chicago White Sox,Yasmani Grandal,33,C,Vet,"$18,250,000",9.43,
Chicago White Sox,Dallas Keuchel,34,SP,Vet,"$18,000,000",9.30,
Chicago White Sox,A.J. Pollock,34,RF,Vet,"$11,500,000",7.49,
Chicago White Sox,Liam Hendriks,33,RP/CL,Vet,"$13,000,000",6.89,Australia
Chicago White Sox,Tim Anderson,29,SS,Pre-Arb,"$9,500,000",4.91,
Chicago White Sox,Kendall Graveman,31,RP,Vet,"$8,000,000",4.13,
Chicago White Sox,Lucas Giolito,27,SP,Arb 2,"$7,450,000",3.85,
Chicago White Sox,Luis Robert,24,CF,Pre-Arb,"$6,000,000",3.10,Cuba
Chicago White Sox,Leury Garcia,31,2B,Vet,"$5,500,000",2.84,Dominican Republic
Chicago White Sox,Josh Harrison,34,2B,Vet,"$4,000,000",2.07,
Chicago White Sox,Vincent Velasquez,30,SP,Vet,"$3,000,000",1.55,
Chicago White Sox,Reynaldo Lopez,28,RP,Arb 2,"$2,625,000",1.36,Dominican Republic
Chicago White Sox,Aaron Bummer,28,RP,Arb 1,"$2,500,000",1.29,
Chicago White Sox,Adam Engel,30,RF,Arb 2,"$2,000,000",1.03,
Chicago White Sox,Kyle Crick,29,RP,Arb 2,"$1,250,000",0.65,
Chicago White Sox,Dylan Cease,26,SP,Pre-Arb,"$750,000",0.39,
Chicago White Sox,Michael Kopech,26,SP,Pre-Arb,"$730,000",0.38,
Chicago White Sox,Reese McGuire,27,C,Pre-Arb,"$722,400",0.37,
Chicago White Sox,Jose Ruiz,27,RP,Pre-Arb,"$720,000",0.37,Venezuela
Chicago White Sox,Andrew Vaughn,24,LF,Pre-Arb,"$715,000",0.37,
Chicago White Sox,Danny Mendick,28,SS,Pre-Arb,"$714,000",0.37,
Chicago White Sox,Matt Foster,27,RP,Pre-Arb,"$711,000",0.37,
Chicago White Sox,Gavin Sheets,26,DH,Pre-Arb,"$706,000",0.36,
Chicago White Sox,Tanner Banks,30,RP,Pre-Arb,"$700,000",0.36,
Chicago White Sox,Jake Burger,26,3B,Pre-Arb,"$700,000",0.36,
Chicago White Sox,Bennett Sousa,27,RP,Pre-Arb,"$700,000",0.36,
Chicago White Sox,Anderson Severino,27,RP,Pre-Arb,"$700,000",0.34,Dominican Republic
Cincinnati Reds,Joey Votto,38,1B,Vet,"$25,000,000",21.54,
Cincinnati Reds,Mike Moustakas,33,3B,Vet,"$16,000,000",13.79,
Cincinnati Reds,Tommy Pham,34,LF,Vet,"$6,000,000",5.17,
Cincinnati Reds,Tyler Mahle,27,SP,Arb 2,"$5,200,000",4.48,
Cincinnati Reds,Tyler Naquin,31,DH,Arb 3,"$4,025,000",3.47,
Cincinnati Reds,Kyle Farmer,31,SS,Arb 1,"$3,155,000",2.72,
Cincinnati Reds,Hunter Strickland,33,RP,Vet,"$1,825,000",1.57,
Cincinnati Reds,Luis Cessa,30,RP,Arb 2,"$1,800,000",1.55,Mexico
Cincinnati Reds,Nick Senzel,27,CF,Arb 1,"$1,250,000",1.08,
Cincinnati Reds,Lucas Sims,28,RP/CL,Arb 1,"$1,250,000",1.08,
Cincinnati Reds,Colin Moran,29,3B,Arb 2,"$1,000,000",0.86,
Cincinnati Reds,Jeff Hoffman,29,RP,Arb 1,"$925,000",0.80,
Cincinnati Reds,Brandon Drury,29,3B,Arb 4,"$900,000",0.78,
Cincinnati Reds,Buck Farmer,31,RP,Arb 3,"$850,000",0.73,
Cincinnati Reds,Jonathan India,25,2B,Pre-Arb,"$760,000",0.65,
Cincinnati Reds,Aristides Aquino,28,RF,Pre-Arb,"$720,000",0.62,Dominican Republic
Cincinnati Reds,Jake Fraley,27,LF,Pre-Arb,"$710,000",0.61,
Cincinnati Reds,Vladimir Gutierrez,26,SP,Pre-Arb,"$707,500",0.61,Cuba
Cincinnati Reds,Tony Santillan,25,RP,Pre-Arb,"$702,500",0.61,
Cincinnati Reds,Art Warren,29,RP,Pre-Arb,"$702,500",0.61,
Cincinnati Reds,Alexis Diaz,25,RP,Pre-Arb,"$700,000",0.60,Puerto Rico
Cincinnati Reds,Aramis Garcia,29,C,Pre-Arb,"$700,000",0.60,
Cincinnati Reds,Hunter Greene,22,SP,Pre-Arb,"$700,000",0.60,
Cincinnati Reds,Dauri Moreta,26,RP,Pre-Arb,"$700,000",0.60,Dominican Republic
Cincinnati Reds,Reiver Sanmartin,26,SP,Pre-Arb,"$700,000",0.60,Colombia
Cincinnati Reds,Mark Kolozsvary,26,C,Pre-Arb,"$700,000",0.54,
Cincinnati Reds,Matt Reynolds,31,3B,Pre-Arb,"$700,000",0.53,
Cincinnati Reds,Phillip Diehl,27,RP,Pre-Arb,"$700,000",0.52,
Cleveland Guardians,Jose Ramirez,29,3B,Vet,"$22,000,000",31.67,Dominican Republic
Cleveland Guardians,Shane Bieber,27,SP,Arb 1,"$6,000,000",8.64,
Cleveland Guardians,Amed Rosario,26,SS,Arb 2,"$4,950,000",7.13,Dominican Republic
Cleveland Guardians,Franmil Reyes,26,DH,Arb 1,"$4,550,000",6.55,Dominican Republic
Cleveland Guardians,Austin Hedges,29,C,Arb 4,"$4,000,000",5.76,
Cleveland Guardians,Bryan Shaw,34,RP,Vet,"$3,000,000",4.32,
Cleveland Guardians,Cal Quantrill,27,SP,Pre-Arb,"$2,510,000",3.61,
Cleveland Guardians,Zach Plesac,27,SP,Pre-Arb,"$2,000,000",2.88,
Cleveland Guardians,Emmanuel Clase,24,RP/CL,Pre-Arb,"$1,500,000",2.74,Dominican Republic
Cleveland Guardians,Myles Straw,27,CF,Pre-Arb,"$1,250,000",2.38,
Cleveland Guardians,Josh Naylor,25,RF,Pre-Arb,"$1,200,000",1.73,
Cleveland Guardians,Luke Maile,31,C,Arb 3,"$900,000",1.30,
Cleveland Guardians,Aaron Civale,27,SP,Pre-Arb,"$716,900",1.03,
Cleveland Guardians,Oscar Mercado,27,OF,Pre-Arb,"$709,900",1.02,
Cleveland Guardians,Triston McKenzie,24,SP,Pre-Arb,"$707,100",1.02,
Cleveland Guardians,Andres Gimenez,23,2B,Pre-Arb,"$706,600",1.02,Venezuela
Cleveland Guardians,Trevor Stephan,26,RP,Pre-Arb,"$703,400",1.01,
Cleveland Guardians,Anthony Gose,31,RP,Arb 1,"$702,900",1.01,
Cleveland Guardians,Sam Hentges,25,RP,Pre-Arb,"$702,500",1.01,
Cleveland Guardians,Bobby Bradley,26,1B,Pre-Arb,"$702,300",1.01,
Cleveland Guardians,Eli Morgan,26,RP,Pre-Arb,"$702,100",1.01,
Cleveland Guardians,Logan Allen,25,RP,Pre-Arb,"$701,700",1.01,
Cleveland Guardians,Nick Sandlin,25,RP,Pre-Arb,"$701,700",1.01,
Cleveland Guardians,Owen Miller,25,1B,Pre-Arb,"$701,100",1.01,
Cleveland Guardians,Ernie Clement,26,2B,Pre-Arb,"$700,800",1.01,
Cleveland Guardians,Steven Kwan,24,LF,Pre-Arb,"$700,000",1.01,
Cleveland Guardians,Enyel De Los Santos,26,RP,Pre-Arb,"$700,000",0.91,Dominican Republic
Cleveland Guardians,Richard Palacios,25,LF,Pre-Arb,"$700,000",0.88,
Colorado Rockies,Charlie Blackmon,36,RF,Vet,"$21,000,000",15.54,
Colorado Rockies,Kris Bryant,30,LF,Vet,"$17,000,000",13.11,
Colorado Rockies,German Marquez,27,SP,Arb 3,"$11,000,000",8.23,Venezuela
Colorado Rockies,Randal Grichuk,30,CF,Vet,"$9,333,333",7.53,
Colorado Rockies,C.J. Cron,32,1B,Vet,"$7,250,000",5.28,
Colorado Rockies,Antonio Senzatela,27,SP,Arb 2,"$7,250,000",5.28,Venezuela
Colorado Rockies,Kyle Freeland,29,SP,Arb 3,"$7,000,000",5.10,
Colorado Rockies,Jose Iglesias,32,SS,Vet,"$5,000,000",3.64,Cuba
Colorado Rockies,Ryan McMahon,27,3B,Arb 2,"$5,000,000",3.64,
Colorado Rockies,Daniel Bard,37,RP/CL,Arb 3,"$4,400,000",3.20,
Colorado Rockies,Alex Colome,33,RP,Vet,"$4,100,000",2.99,Dominican Republic
Colorado Rockies,Carlos Estevez,29,RP,Arb 3,"$3,025,000",2.20,Dominican Republic
Colorado Rockies,Elias Diaz,31,C,Arb 3,"$3,000,000",2.18,Venezuela
Colorado Rockies,Chad Kuhl,29,SP,Arb 3,"$3,000,000",2.18,
Colorado Rockies,Robert Stephenson,29,RP,Arb 2,"$1,280,000",0.93,
Colorado Rockies,Jhoulys Chacin,34,RP,Vet,"$1,250,000",0.91,Venezuela
Colorado Rockies,Tyler Kinley,31,RP,Arb 1,"$1,025,000",0.75,
Colorado Rockies,Ty Blach,31,RP,Pre-Arb,"$750,000",0.55,
Colorado Rockies,Austin Gomber,28,SP,Pre-Arb,"$710,000",0.52,
Colorado Rockies,Brendan Rodgers,25,2B,Pre-Arb,"$710,000",0.52,
Colorado Rockies,Yonathan Daza,28,RF,Pre-Arb,"$705,000",0.51,Venezuela
Colorado Rockies,Ashton Goudeau,29,RP,Pre-Arb,"$705,000",0.51,
Colorado Rockies,Sam Hilliard,28,CF,Pre-Arb,"$705,000",0.51,
Colorado Rockies,Dom Nunez,27,C,Pre-Arb,"$705,000",0.51,
Colorado Rockies,Connor Joe,29,DH,Pre-Arb,"$702,000",0.51,
Colorado Rockies,Alan Trejo,26,SS,Pre-Arb,"$702,000",0.51,
Colorado Rockies,Justin Lawrence,27,RP,Pre-Arb,"$700,000",0.51,
Colorado Rockies,Ryan Feltner,25,SP,Pre-Arb,"$700,000",0.44,
Detroit Tigers,Miguel Cabrera,39,DH,Vet,"$32,000,000",23.44,Venezuela
Detroit Tigers,Javier Baez,29,SS,Vet,"$20,000,000",14.65,
Detroit Tigers,Eduardo Rodriguez,29,SP,Vet,"$14,000,000",10.26,Venezuela
Detroit Tigers,Tucker Barnhart,31,C,Vet,"$7,750,000",5.68,
Detroit Tigers,Jonathan Schoop,30,2B,Vet,"$7,500,000",5.49,Curacao
Detroit Tigers,Andrew Chafin,32,RP,Vet,"$5,500,000",4.40,
Detroit Tigers,Jeimer Candelario,28,3B,Arb 2,"$5,800,000",4.25,Dominican Republic
Detroit Tigers,Michael Pineda,33,SP,Vet,"$5,500,000",4.03,Dominican Republic
Detroit Tigers,Robbie Grossman,32,RF,Vet,"$5,000,000",3.66,
Detroit Tigers,Michael Fulmer,29,RP,Arb 4,"$4,950,000",3.63,
Detroit Tigers,Austin Meadows,27,LF,Arb 1,"$4,000,000",2.93,
Detroit Tigers,Wily Peralta,33,RP,Vet,"$2,500,000",1.69,Dominican Republic
Detroit Tigers,Joe Jimenez,27,RP,Arb 2,"$1,790,000",1.31,Puerto Rico
Detroit Tigers,Harold Castro,28,3B,Pre-Arb,"$1,275,000",0.93,Venezuela
Detroit Tigers,Dustin Garneau,34,C,Arb 1,"$1,175,000",0.86,
Detroit Tigers,Jacob Barnes,32,RP,Arb 2,"$1,130,000",0.83,
Detroit Tigers,Drew Hutchison,31,RP,Arb 3,"$800,000",0.59,
Detroit Tigers,Gregory Soto,27,RP/CL,Pre-Arb,"$722,400",0.53,Dominican Republic
Detroit Tigers,Tyler Alexander,27,SP,Pre-Arb,"$716,900",0.53,
Detroit Tigers,Tarik Skubal,25,SP,Pre-Arb,"$713,600",0.52,
Detroit Tigers,Eric Haase,29,C,Pre-Arb,"$710,400",0.52,
Detroit Tigers,Akil Baddoo,23,CF,Pre-Arb,"$709,400",0.52,
Detroit Tigers,Alex Lange,26,RP,Pre-Arb,"$703,700",0.52,
Detroit Tigers,Derek Hill,26,OF,Pre-Arb,"$704,900",0.51,
Detroit Tigers,Spencer Torkelson,22,1B,Pre-Arb,"$700,000",0.51,
Detroit Tigers,Will Vest,27,RP,Pre-Arb,"$700,000",0.51,
Detroit Tigers,Willi Castro,25,SS,Pre-Arb,"$700,000",0.47,Puerto Rico
Detroit Tigers,Beau Brieske,24,SP,Pre-Arb,"$700,000",0.45,
Houston Astros,Justin Verlander,39,SP,Vet,"$25,000,000",14.18,
Houston Astros,Michael Brantley,35,LF,Vet,"$16,000,000",9.07,
Houston Astros,Alex Bregman,28,3B,Arb 3,"$11,000,000",7.18,
Houston Astros,Yulieski Gurriel,38,1B,Pre-Arb,"$8,000,000",4.54,Cuba
Houston Astros,Hector Neris,33,RP/CL,Vet,"$8,000,000",4.54,Dominican Republic
Houston Astros,Jake Odorizzi,32,SP,Vet,"$5,000,000",4.54,
Houston Astros,Martin Maldonado,35,C,Vet,"$5,000,000",2.84,
Houston Astros,Jason Castro,35,C,Vet,"$3,750,000",2.69,
Houston Astros,Aledmys Diaz,31,2B,Arb 3,"$4,450,000",2.52,Cuba
Houston Astros,Framber Valdez,28,SP,Arb 1,"$3,000,000",1.70,Dominican Republic
Houston Astros,Rafael Montero,31,RP,Arb 4,"$2,725,000",1.55,Dominican Republic
Houston Astros,Niko Goodrum,30,2B,Arb 2,"$2,100,000",1.19,
Houston Astros,Ryne Stanek,30,RP,Arb 2,"$2,100,000",1.19,
Houston Astros,Phil Maton,29,RP,Arb 2,"$1,550,000",0.88,
Houston Astros,Luis Garcia,25,SP,Pre-Arb,"$1,251,500",0.71,Venezuela
Houston Astros,Yordan Alvarez,25,DH,Pre-Arb,"$764,600",0.43,Cuba
Houston Astros,Kyle Tucker,25,RF,Pre-Arb,"$764,200",0.43,
Houston Astros,Cristian Javier,25,SP,Pre-Arb,"$749,100",0.42,Dominican Republic
Houston Astros,Jose Urquidy,27,SP,Pre-Arb,"$748,700",0.42,Mexico
Houston Astros,Blake Taylor,26,RP,Pre-Arb,"$731,800",0.41,
Houston Astros,Bryan Abreu,25,RP,Pre-Arb,"$719,600",0.41,Dominican Republic
Houston Astros,Jose Siri,26,CF,Pre-Arb,"$704,000",0.40,Dominican Republic
Houston Astros,Chas McCormick,27,CF,Pre-Arb,"$703,800",0.40,
Houston Astros,Ronel Blanco,28,RP,Pre-Arb,"$700,000",0.40,Dominican Republic
Houston Astros,Jeremy Pena,24,SS,Pre-Arb,"$700,000",0.40,
Houston Astros,Parker Mushinski,26,RP,Pre-Arb,"$700,000",0.37,
Houston Astros,J.J. Matijevic,26,2B,Pre-Arb,"$700,000",0.36,
Houston Astros,Seth Martinez,27,RP,Pre-Arb,"$700,000",0.35,
Kansas City Royals,Salvador Perez,32,C,Vet,"$18,000,000",18.99,Venezuela
Kansas City Royals,Zack Greinke,38,SP,Vet,"$13,000,000",13.72,
Kansas City Royals,Carlos Santana,36,1B,Vet,"$10,500,000",11.08,Dominican Republic
Kansas City Royals,Andrew Benintendi,27,LF,Arb 3,"$7,900,000",8.34,
Kansas City Royals,Whit Merrifield,33,RF,Arb 3,"$7,000,000",7.39,
Kansas City Royals,Brad Keller,26,SP,Arb 2,"$4,825,000",5.09,
Kansas City Royals,Hunter Dozier,30,DH,Arb 2,"$4,500,000",5.01,
Kansas City Royals,Michael Taylor,31,CF,Vet,"$4,500,000",4.75,
Kansas City Royals,Adalberto Mondesi,26,SS,Arb 2,"$3,000,000",3.17,Dominican Republic
Kansas City Royals,Nicholas Lopez,27,SS,Arb 1,"$2,750,000",2.90,
Kansas City Royals,Scott Barlow,29,RP/CL,Arb 1,"$2,400,000",2.53,
Kansas City Royals,Amir Garrett,30,RP,Arb 2,"$2,025,000",2.14,
Kansas City Royals,Ryan O'Hearn,28,1B,Arb 1,"$1,300,000",1.37,
Kansas City Royals,Taylor Clarke,29,RP,Pre-Arb,"$975,000",1.03,
Kansas City Royals,Cameron Gallagher,29,C,Arb 1,"$885,000",0.93,
Kansas City Royals,Josh Staumont,28,RP,Pre-Arb,"$728,000",0.77,
